v1,tp,fp,tn,fn,prec,rec,f1,n,noise_vars,cor_vars,linear_vars,minority_size,iter
adaboost_under,104,5551,4238,53,0.0183908045977011,0.662420382165605,0.0357880247763248,33151,3,3,51,0.0166812464179059,1
adaboost_over,0,1,9788,157,0,0,NaN,33151,3,3,51,0.0166812464179059,1
adaboost_smote,44,1961,7828,113,0.0219451371571072,0.280254777070064,0.0407030527289547,33151,3,3,51,0.0166812464179059,1
adaboost_none,0,6,9783,157,0,0,NaN,33151,3,3,51,0.0166812464179059,1
xgboost_under,71,4070,5719,86,0.0171456170007245,0.452229299363057,0.0330386226151698,33151,3,3,51,0.0166812464179059,1
xgboost_over,37,1024,8765,120,0.0348727615457116,0.235668789808917,0.0607553366174056,33151,3,3,51,0.0166812464179059,1
xgboost_smote,40,1650,8139,117,0.0236686390532544,0.254777070063694,0.0433134813210612,33151,3,3,51,0.0166812464179059,1
xgboost_none,0,0,9789,157,NaN,0,NaN,33151,3,3,51,0.0166812464179059,1
randomforest_under,91,3978,5811,66,0.0223642172523962,0.579617834394904,0.0430667297681022,33151,3,3,51,0.0166812464179059,1
randomforest_over,0,0,9789,157,NaN,0,NaN,33151,3,3,51,0.0166812464179059,1
randomforest_smote,8,272,9517,149,0.0285714285714286,0.0509554140127389,0.0366132723112128,33151,3,3,51,0.0166812464179059,1
randomforest_none,0,0,9789,157,NaN,0,NaN,33151,3,3,51,0.0166812464179059,1
c50_under,84,4627,5162,73,0.0178306092124814,0.535031847133758,0.0345110928512736,33151,3,3,51,0.0166812464179059,1
c50_over,5,265,9524,152,0.0185185185185185,0.0318471337579618,0.0234192037470726,33151,3,3,51,0.0166812464179059,1
c50_smote,57,2448,7341,100,0.0227544910179641,0.363057324840764,0.0428249436513899,33151,3,3,51,0.0166812464179059,1
c50_none,0,0,9789,157,NaN,0,NaN,33151,3,3,51,0.0166812464179059,1
adaboost_under,104,5939,5658,49,0.0172099950355784,0.679738562091503,0.0335700451904455,39165,4,4,37,0.0130218307162007,2
adaboost_over,0,0,11597,153,NaN,0,NaN,39165,4,4,37,0.0130218307162007,2
adaboost_smote,42,2380,9217,111,0.0173410404624277,0.274509803921569,0.032621359223301,39165,4,4,37,0.0130218307162007,2
adaboost_none,0,1,11596,153,0,0,NaN,39165,4,4,37,0.0130218307162007,2
xgboost_under,78,4869,6728,75,0.015767131594906,0.509803921568627,0.0305882352941176,39165,4,4,37,0.0130218307162007,2
xgboost_over,26,1230,10367,127,0.0207006369426752,0.169934640522876,0.0369056068133428,39165,4,4,37,0.0130218307162007,2
xgboost_smote,40,2006,9591,113,0.0195503421309873,0.261437908496732,0.0363801728058208,39165,4,4,37,0.0130218307162007,2
xgboost_none,0,0,11597,153,NaN,0,NaN,39165,4,4,37,0.0130218307162007,2
randomforest_under,85,4752,6845,68,0.0175728757494315,0.555555555555556,0.0340681362725451,39165,4,4,37,0.0130218307162007,2
randomforest_over,0,0,11597,153,NaN,0,NaN,39165,4,4,37,0.0130218307162007,2
randomforest_smote,9,367,11230,144,0.023936170212766,0.0588235294117647,0.0340264650283554,39165,4,4,37,0.0130218307162007,2
randomforest_none,0,0,11597,153,NaN,0,NaN,39165,4,4,37,0.0130218307162007,2
c50_under,75,5251,6346,78,0.0140818625610214,0.490196078431373,0.0273772586238365,39165,4,4,37,0.0130218307162007,2
c50_over,5,249,11348,148,0.0196850393700787,0.0326797385620915,0.0245700245700246,39165,4,4,37,0.0130218307162007,2
c50_smote,53,3018,8579,100,0.0172582220774992,0.34640522875817,0.03287841191067,39165,4,4,37,0.0130218307162007,2
c50_none,0,0,11597,153,NaN,0,NaN,39165,4,4,37,0.0130218307162007,2
adaboost_under,157,5776,4995,71,0.0264621607955503,0.68859649122807,0.0509657523129362,36662,2,3,47,0.0184387103813213,3
adaboost_over,0,1,10770,228,0,0,NaN,36662,2,3,47,0.0184387103813213,3
adaboost_smote,88,2174,8597,140,0.0389036251105217,0.385964912280702,0.0706827309236948,36662,2,3,47,0.0184387103813213,3
adaboost_none,0,6,10765,228,0,0,NaN,36662,2,3,47,0.0184387103813213,3
xgboost_under,121,4465,6306,107,0.0263846489315307,0.530701754385965,0.0502700457000415,36662,2,3,47,0.0184387103813213,3
