v1,tp,fp,tn,fn,prec,rec,f1,n,noise_vars,cor_vars,linear_vars,minority_size,iter
adaboost_under,128,6495,5080,62,0.0193265891589914,0.673684210526316,0.0375752238367826,39214,4,5,45,0.016499209466007,351
adaboost_over,0,0,11575,190,NaN,0,NaN,39214,4,5,45,0.016499209466007,351
adaboost_smote,52,2392,9183,138,0.0212765957446809,0.273684210526316,0.0394836750189825,39214,4,5,45,0.016499209466007,351
adaboost_none,0,0,11575,190,NaN,0,NaN,39214,4,5,45,0.016499209466007,351
xgboost_under,109,4937,6638,81,0.0216012683313516,0.573684210526316,0.0416348357524828,39214,4,5,45,0.016499209466007,351
xgboost_over,36,1427,10148,154,0.024606971975393,0.189473684210526,0.043557168784029,39214,4,5,45,0.016499209466007,351
xgboost_smote,47,2050,9525,143,0.022412970910825,0.247368421052632,0.0411018801923918,39214,4,5,45,0.016499209466007,351
xgboost_none,0,0,11575,190,NaN,0,NaN,39214,4,5,45,0.016499209466007,351
randomforest_under,111,4719,6856,79,0.0229813664596273,0.58421052631579,0.0442231075697211,39214,4,5,45,0.016499209466007,351
randomforest_over,0,0,11575,190,NaN,0,NaN,39214,4,5,45,0.016499209466007,351
randomforest_smote,8,478,11097,182,0.0164609053497942,0.0421052631578947,0.0236686390532544,39214,4,5,45,0.016499209466007,351
randomforest_none,0,0,11575,190,NaN,0,NaN,39214,4,5,45,0.016499209466007,351
c50_under,120,5985,5590,70,0.0196560196560197,0.631578947368421,0.0381254964257347,39214,4,5,45,0.016499209466007,351
c50_over,6,259,11316,184,0.0226415094339623,0.0315789473684211,0.0263736263736264,39214,4,5,45,0.016499209466007,351
c50_smote,57,3002,8573,133,0.0186335403726708,0.3,0.0350877192982456,39214,4,5,45,0.016499209466007,351
c50_none,0,0,11575,190,NaN,0,NaN,39214,4,5,45,0.016499209466007,351
adaboost_under,104,7123,6178,63,0.0143904801439048,0.622754491017964,0.0281309169596971,44893,4,4,40,0.0116499231506025,352
adaboost_over,0,0,13301,167,NaN,0,NaN,44893,4,4,40,0.0116499231506025,352
adaboost_smote,42,2928,10373,125,0.0141414141414141,0.251497005988024,0.0267771756455212,44893,4,4,40,0.0116499231506025,352
adaboost_none,0,1,13300,167,0,0,NaN,44893,4,4,40,0.0116499231506025,352
xgboost_under,92,5672,7629,75,0.0159611380985427,0.550898203592814,0.0310234361827685,44893,4,4,40,0.0116499231506025,352
xgboost_over,34,1706,11595,133,0.0195402298850575,0.203592814371257,0.0356581017304667,44893,4,4,40,0.0116499231506025,352
xgboost_smote,48,2454,10847,119,0.0191846522781775,0.287425149700599,0.0359685275384039,44893,4,4,40,0.0116499231506025,352
xgboost_none,0,0,13301,167,NaN,0,NaN,44893,4,4,40,0.0116499231506025,352
randomforest_under,98,5308,7993,69,0.0181280059193489,0.586826347305389,0.0351695675578683,44893,4,4,40,0.0116499231506025,352
randomforest_over,0,0,13301,167,NaN,0,NaN,44893,4,4,40,0.0116499231506025,352
randomforest_smote,17,524,12777,150,0.0314232902033272,0.101796407185629,0.0480225988700565,44893,4,4,40,0.0116499231506025,352
randomforest_none,0,0,13301,167,NaN,0,NaN,44893,4,4,40,0.0116499231506025,352
c50_under,81,6673,6628,86,0.011992893100385,0.48502994011976,0.023407022106632,44893,4,4,40,0.0116499231506025,352
c50_over,3,206,13095,164,0.0143540669856459,0.0179640718562874,0.0159574468085106,44893,4,4,40,0.0116499231506025,352
c50_smote,56,4178,9123,111,0.0132262635805385,0.335329341317365,0.0254487616450807,44893,4,4,40,0.0116499231506025,352
c50_none,0,0,13301,167,NaN,0,NaN,44893,4,4,40,0.0116499231506025,352
adaboost_under,103,6344,5420,57,0.0159764231425469,0.64375,0.0311790525200545,39746,4,5,39,0.0138127107130277,353
adaboost_over,0,1,11763,160,0,0,NaN,39746,4,5,39,0.0138127107130277,353
adaboost_smote,56,2450,9314,104,0.0223463687150838,0.35,0.0420105026256564,39746,4,5,39,0.0138127107130277,353
adaboost_none,0,0,11764,160,NaN,0,NaN,39746,4,5,39,0.0138127107130277,353
xgboost_under,91,5053,6711,69,0.0176905132192846,0.56875,0.0343137254901961,39746,4,5,39,0.0138127107130277,353
xgboost_over,29,1427,10337,131,0.0199175824175824,0.18125,0.0358910891089109,39746,4,5,39,0.0138127107130277,353
xgboost_smote,55,2318,9446,105,0.0231774125579435,0.34375,0.0434267666798263,39746,4,5,39,0.0138127107130277,353
xgboost_none,0,0,11764,160,NaN,0,NaN,39746,4,5,39,0.0138127107130277,353
randomforest_under,90,5021,6743,70,0.0176090784582274,0.5625,0.0341491178144565,39746,4,5,39,0.0138127107130277,353
randomforest_over,0,0,11764,160,NaN,0,NaN,39746,4,5,39,0.0138127107130277,353
randomforest_smote,11,442,11322,149,0.0242825607064018,0.06875,0.0358890701468189,39746,4,5,39,0.0138127107130277,353
randomforest_none,0,0,11764,160,NaN,0,NaN,39746,4,5,39,0.0138127107130277,353
c50_under,75,4872,6892,85,0.0151607034566404,0.46875,0.0293714509496769,39746,4,5,39,0.0138127107130277,353
c50_over,3,282,11482,157,0.0105263157894737,0.01875,0.0134831460674157,39746,4,5,39,0.0138127107130277,353
c50_smote,60,3424,8340,100,0.0172215843857635,0.375,0.0329308452250274,39746,4,5,39,0.0138127107130277,353
c50_none,0,0,11764,160,NaN,0,NaN,39746,4,5,39,0.0138127107130277,353
adaboost_under,105,4877,4273,45,0.0210758731433159,0.7,0.0409197194076383,30999,3,3,43,0.0159682570405497,354
adaboost_over,0,0,9150,150,NaN,0,NaN,30999,3,3,43,0.0159682570405497,354
adaboost_smote,45,1987,7163,105,0.0221456692913386,0.3,0.0412465627864345,30999,3,3,43,0.0159682570405497,354
adaboost_none,0,7,9143,150,0,0,NaN,30999,3,3,43,0.0159682570405497,354
xgboost_under,93,4020,5130,57,0.0226112326768782,0.62,0.043631245601689,30999,3,3,43,0.0159682570405497,354
xgboost_over,31,865,8285,119,0.0345982142857143,0.206666666666667,0.0592734225621415,30999,3,3,43,0.0159682570405497,354
xgboost_smote,38,1674,7476,112,0.022196261682243,0.253333333333333,0.0408163265306122,30999,3,3,43,0.0159682570405497,354
xgboost_none,0,0,9150,150,NaN,0,NaN,30999,3,3,43,0.0159682570405497,354
randomforest_under,104,3956,5194,46,0.025615763546798,0.693333333333333,0.0494061757719715,30999,3,3,43,0.0159682570405497,354
randomforest_over,0,0,9150,150,NaN,0,NaN,30999,3,3,43,0.0159682570405497,354
randomforest_smote,9,339,8811,141,0.0258620689655172,0.06,0.036144578313253,30999,3,3,43,0.0159682570405497,354
randomforest_none,0,0,9150,150,NaN,0,NaN,30999,3,3,43,0.0159682570405497,354
c50_under,76,3681,5469,74,0.0202289060420548,0.506666666666667,0.0389045303301766,30999,3,3,43,0.0159682570405497,354
c50_over,3,203,8947,147,0.0145631067961165,0.02,0.0168539325842697,30999,3,3,43,0.0159682570405497,354
c50_smote,51,2681,6469,99,0.0186676427525622,0.34,0.0353920888272033,30999,3,3,43,0.0159682570405497,354
c50_none,0,0,9150,150,NaN,0,NaN,30999,3,3,43,0.0159682570405497,354
